JOB_NUMBER,ITEM,OVERALL_LABEL_WIDTH,OVERALL_LABEL_LENGTH,HEADER_VARIABLE_DATA|SKU_VALUE,SKU_SEQ,SKU_QUANTITY,Re_Qty,RB,Color_Group,Dimension_Group,Group_NATO,Fix_Orientation,Group_SKU,wds
ATO-50734630,ATV642531,56.4,51.8,60|MADE_IN_INDONESIA|46,1,100,110,ADIDAS (EUROPE),CG3,DG3,0,1,0,1
ATO-50734630,ATV642531,56.4,51.8,60|MADE_IN_INDONESIA|50,2,100,110,ADIDAS (EUROPE),CG3,DG3,0,1,0,1
ATO-50734630,ATV642531,56.4,51.8,60|MADE_IN_INDONESIA|54,3,100,110,ADIDAS (EUROPE),CG3,DG3,0,1,0,1
ATO-50734630,ATV642531,56.4,51.8,60|MADE_IN_INDONESIA|62,4,100,110,ADIDAS (EUROPE),CG3,DG3,0,1,0,1
ATO-50752224,ATV627068,47,52.6,60|MADE_IN_THAILAND|50,1,100,110,ADIDAS (EUROPE),CG3,DG4,0,1,0,1
ATO-50734632,ATV628195,56.4,51.8,TA|MADE_IN_INDONESIA|APP|FEMALE|ADULT|GLOBAL_SIZE_-_22FW_ONWARDS|BOTTOM|OTHERS|32,1,100,110,ADIDAS (EUROPE),CG3,DG5,0,1,0,1
ATO-50734632,ATV628195,56.4,51.8,TA|MADE_IN_INDONESIA|APP|FEMALE|ADULT|GLOBAL_SIZE_-_22FW_ONWARDS|BOTTOM|OTHERS|36,2,100,110,ADIDAS (EUROPE),CG3,DG5,0,1,0,1
ATO-50734632,ATV628195,56.4,51.8,TA|MADE_IN_INDONESIA|APP|FEMALE|ADULT|GLOBAL_SIZE_-_22FW_ONWARDS|BOTTOM|OTHERS|40,3,100,110,ADIDAS (EUROPE),CG3,DG5,0,1,0,1
ATO-50734632,ATV628195,56.4,51.8,TA|MADE_IN_INDONESIA|APP|FEMALE|ADULT|GLOBAL_SIZE_-_22FW_ONWARDS|BOTTOM|OTHERS|44,4,100,110,ADIDAS (EUROPE),CG3,DG5,0,1,0,1
ATO-50734632,ATV628195,56.4,51.8,TA|MADE_IN_INDONESIA|APP|FEMALE|ADULT|GLOBAL_SIZE_-_22FW_ONWARDS|BOTTOM|OTHERS|48,5,100,110,ADIDAS (EUROPE),CG3,DG5,0,1,0,1