oracle_batch,cg_id,dg_id,orient,sheet_width,sheet_length,quantity,ups,label_width,label_length,ink_seperator,n_rows
H880282,CG_22,DG_084,horizon,678,528,1235,15,39,68.5,0,7
H880282,CG_22,DG_086,vertical,678,528,10100,118,64,39,0,8
H880099,CG_23,DG_087,horizon,678,528,360,4,29,40.4,1,13
H880099,CG_24,DG_088,horizon,678,528,11000,121,44,65,0,8
H880131,CG_26,DG_091,horizon,678,528,28830,255,30,29,1,18
H880131,CG_27,DG_093,horizon,678,528,10578,93,28,41,1,12
H880132,CG_28,DG_094,horizon,678,528,7754,116,28,36,2,14
H880132,CG_29,DG_095,horizon,678,528,5674,86,28,36,2,14
H880132,CG_30,DG_098,horizon,678,528,3975,61,29,46,2,11
H880132,CG_30,DG_099,horizon,678,528,650,10,39,45,2,11
H880166,CG_35,DG_105,horizon,582,482,14610,72,97,39,0,12